N  np  isd iz0    thetainf           qinf
1 5001  0   0   9.66766111e-01   1.05470546e-01
        s0            us, m/s            q_s            theta_s        rho_w, kg/m^3      nu, m^2/s
  1.00000000e-09   4.00000000e+00   4.00000000e-04   2.00000000e-01   1.02000000e+03   1.56800000e-05
      pi0              pi1              pi2              pi3              pi5              pi6
  2.50000000e+00   8.27261483e-02   6.83211225e-01   2.70483712e-05   2.30952591e-05   6.34729156e+00
      pi7              pi8              pi9              pi12             pi13             pi17
  1.32279714e+00   5.69105691e-04   1.33151534e-02   2.65503332e-06   3.06250000e+00   2.70126199e-02
     zwt, m            z0, m           z_q, m            z1, m            h, m           g, m/s^2
  5.00000000e+00   2.44897959e-02   2.90364307e-07   9.79591837e-02   1.00000000e+00   9.80000000e+00
      Ceps1            Ceps2            Ceps3             alp              alpe            alpeps
  1.44000000e+00   1.92000000e+00   1.00000000e+00   3.00000000e-01   1.00000000e+00   7.70000000e-01
      alpv              alpT            sig0t             Cb               kp              u1log
  1.00000000e+00   1.00000000e+00   6.70000000e-01   1.80000000e+00   4.32449982e-01   3.20567561e+00
    Rd, J/kg/K       Rv, J/kg/K       cw, J/kg/K      cpd, J/kg/K          kd              sigma
  2.87000000e+02   4.61510000e+02   4.21800000e+03   1.00500000e+03   2.85714286e-01   8.66949654e+02
      T0, K            P0, Pa       rho_d0, kg/m^3     D0, m^2/s       K0, J/m/s/K        pvs0, Pa
  3.00000000e+02   1.01300000e+05   1.17653891e+00   2.59664363e-05   2.62160000e-02   3.56710931e+03
        q0            l0, J/kg         Rmin, m          Rmax, m           r0, m           a0, m/s
  2.18981665e-02   2.45000000e+06   6.00000000e-05   6.00000000e-05   6.00000000e-05   3.30904593e-01
  3.97920392e+00   1.53867883e+01   9.99999963e-01   3.27222095e+00   6.40458509e-03   5.60062400e-01  -1.91906772e-01
  4.01920000e+00   1.54093851e+01   9.99999963e-01   3.27236680e+00   6.50453331e-03   5.54458369e-01  -1.90017666e-01
  4.05919608e+00   1.54317548e+01   9.99999964e-01   3.27251342e+00   6.60454093e-03   5.48964994e-01  -1.88165811e-01
  4.09919216e+00   1.54539019e+01   9.99999964e-01   3.27266080e+00   6.70460734e-03   5.43579034e-01  -1.86350116e-01
  4.13918824e+00   1.54758307e+01   9.99999965e-01   3.27280892e+00   6.80473191e-03   5.38297370e-01  -1.84569531e-01
  4.17918433e+00   1.54975454e+01   9.99999965e-01   3.27295777e+00   6.90491405e-03   5.33117006e-01  -1.82823047e-01
  4.21918041e+00   1.55190501e+01   9.99999966e-01   3.27310733e+00   7.00515316e-03   5.28035057e-01  -1.81109694e-01
  4.25917649e+00   1.55403487e+01   9.99999966e-01   3.27325760e+00   7.10544863e-03   5.23048748e-01  -1.79428537e-01
  4.29917257e+00   1.55614452e+01   9.99999967e-01   3.27340856e+00   7.20579987e-03   5.18155407e-01  -1.77778677e-01
  4.33916865e+00   1.55823432e+01   9.99999967e-01   3.27356019e+00   7.30620631e-03   5.13352460e-01  -1.76159248e-01
  4.37916473e+00   1.56030463e+01   9.99999968e-01   3.27371249e+00   7.40666736e-03   5.08637428e-01  -1.74569415e-01
  4.41916082e+00   1.56235583e+01   9.99999968e-01   3.27386544e+00   7.50718245e-03   5.04007920e-01  -1.73008374e-01
  4.45915690e+00   1.56438824e+01   9.99999969e-01   3.27401904e+00   7.60775102e-03   4.99461634e-01  -1.71475350e-01
  4.49915298e+00   1.56640220e+01   9.99999969e-01   3.27417327e+00   7.70837249e-03   4.94996347e-01  -1.69969595e-01
  4.53914906e+00   1.56839805e+01   9.99999970e-01   3.27432812e+00   7.80904631e-03   4.90609916e-01  -1.68490386e-01
  4.57914514e+00   1.57037610e+01   9.99999970e-01   3.27448358e+00   7.90977194e-03   4.86300272e-01  -1.67037029e-01
  4.61914122e+00   1.57233666e+01   9.99999971e-01   3.27463964e+00   8.01054882e-03   4.82065419e-01  -1.65608851e-01
  4.65913731e+00   1.57428003e+01   9.99999971e-01   3.27479630e+00   8.11137641e-03   4.77903427e-01  -1.64205202e-01
  4.69913339e+00   1.57620650e+01   9.99999971e-01   3.27495353e+00   8.21225418e-03   4.73812436e-01  -1.62825456e-01
  4.73912947e+00   1.57811637e+01   9.99999972e-01   3.27511134e+00   8.31318158e-03   4.69790645e-01  -1.61469008e-01
  4.77912555e+00   1.58000991e+01   9.99999972e-01   3.27526970e+00   8.41415811e-03   4.65836315e-01  -1.60135272e-01
  4.81912163e+00   1.58188739e+01   9.99999973e-01   3.27542863e+00   8.51518323e-03   4.61947765e-01  -1.58823681e-01
  4.85911771e+00   1.58374908e+01   9.99999973e-01   3.27558809e+00   8.61625643e-03   4.58123368e-01  -1.57533688e-01
  4.89911380e+00   1.58559525e+01   9.99999973e-01   3.27574809e+00   8.71737719e-03   4.54361552e-01  -1.56264765e-01
  4.93910988e+00   1.58742613e+01   9.99999974e-01   3.27590862e+00   8.81854501e-03   4.50660793e-01  -1.55016398e-01
  4.97910596e+00   1.58924198e+01   9.99999974e-01   3.27606967e+00   8.91975939e-03   4.47019621e-01  -1.53788093e-01
  5.01910204e+00   1.59104305e+01   9.99999974e-01   3.27623123e+00   9.02101982e-03   4.43436608e-01  -1.52579368e-01
  5.05909812e+00   1.59282955e+01   9.99999975e-01   3.27639330e+00   9.12232582e-03   4.39910374e-01  -1.51389759e-01
  5.09909420e+00   1.59460173e+01   9.99999975e-01   3.27655586e+00   9.22367689e-03   4.36439581e-01  -1.50218816e-01
  5.13909029e+00   1.59635981e+01   9.99999975e-01   3.27671891e+00   9.32507255e-03   4.33022933e-01  -1.49066103e-01
  5.17908637e+00   1.59810401e+01   9.99999976e-01   3.27688244e+00   9.42651232e-03   4.29659174e-01  -1.47931197e-01
  5.21908245e+00   1.59983453e+01   9.99999976e-01   3.27704645e+00   9.52799572e-03   4.26347088e-01  -1.46813687e-01
  5.25907853e+00   1.60155160e+01   9.99999976e-01   3.27721092e+00   9.62952228e-03   4.23085494e-01  -1.45713178e-01
  5.29907461e+00   1.60325541e+01   9.99999977e-01   3.27737585e+00   9.73109154e-03   4.19873247e-01  -1.44629284e-01
  5.33907069e+00   1.60494616e+01   9.99999977e-01   3.27754124e+00   9.83270302e-03   4.16709238e-01  -1.43561630e-01
  5.37906678e+00   1.60662405e+01   9.99999977e-01   3.27770707e+00   9.93435628e-03   4.13592389e-01  -1.42509855e-01
  5.41906286e+00   1.60828927e+01   9.99999978e-01   3.27787335e+00   1.00360509e-02   4.10521654e-01  -1.41473607e-01
  5.45905894e+00   1.60994201e+01   9.99999978e-01   3.27804005e+00   1.01377863e-02   4.07496020e-01  -1.40452543e-01
  5.49905502e+00   1.61158245e+01   9.99999978e-01   3.27820719e+00   1.02395621e-02   4.04514500e-01  -1.39446333e-01
  5.53905110e+00   1.61321076e+01   9.99999978e-01   3.27837475e+00   1.03413780e-02   4.01576139e-01  -1.38454654e-01
  5.57904718e+00   1.61482712e+01   9.99999979e-01   3.27854273e+00   1.04432333e-02   3.98680007e-01  -1.37477193e-01
  5.61904327e+00   1.61643171e+01   9.99999979e-01   3.27871112e+00   1.05451278e-02   3.95825201e-01  -1.36513647e-01
  5.65903935e+00   1.61802468e+01   9.99999979e-01   3.27887991e+00   1.06470609e-02   3.93010844e-01  -1.35563720e-01
  5.69903543e+00   1.61960621e+01   9.99999980e-01   3.27904910e+00   1.07490323e-02   3.90236084e-01  -1.34627126e-01
  5.73903151e+00   1.62117646e+01   9.99999980e-01   3.27921869e+00   1.08510415e-02   3.87500092e-01  -1.33703585e-01
  5.77902759e+00   1.62273557e+01   9.99999980e-01   3.27938866e+00   1.09530880e-02   3.84802061e-01  -1.32792826e-01
  5.81902367e+00   1.62428371e+01   9.99999980e-01   3.27955902e+00   1.10551716e-02   3.82141209e-01  -1.31894586e-01
  5.85901976e+00   1.62582102e+01   9.99999981e-01   3.27972975e+00   1.11572917e-02   3.79516774e-01  -1.31008607e-01
